ohara_label,rock,source,table,column,SiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,H2O+,H2O-,TiO2,P2O5,Cr2O3,S,F,total,n_Qz,n_Or,n_Ab,n_Ne,n_An,n_Di,n_Hy,n_Ol,n_Il,n_Mt,n_Ap,n_Rest,n_total
PB,"Picrite basalt (66070), lower vents of the 1840 eruption of Kilauea, Nanawale Bay, Hawaii",Tilley Yoder & Schairer (1963) Carnegie Inst. Wash. Year Book 62 p. 79,3,1,46.94,9.03,1.74,10.25,0.17,20.10,7.76,1.59,0.35,0.13,0,1.80,0.17,0.18,,,100.21,,2.22,13.62,,16.12,17.08,13.74,30.58,3.50,2.78,0.34,0.13,100.11
1840b1,"Basalt (66102c), olivine-bearing, 1840 Kilauea lava of the upper vents",Tilley Yoder & Schairer (1963) Carnegie Inst. Wash. Year Book 62 p. 79,3,2,50.56,12.85,1.52,10.32,0.17,8.30,9.06,2.63,0.72,0.13,0,3.47,0.36,,,,100.09,0.78,3.89,22.53,,21.13,17.73,24.29,,6.61,2.09,0.85,0.13,100.03
1840b2,"Basalt (68227), 1840 Kilauea lava of the upper vents",Tilley Yoder & Schairer (1963) Carnegie Inst. Wash. Year Book 62 p. 79,3,3,51.15,14.22,2.55,9.56,0.18,5.65,9.96,2.58,0.57,0.22,0,3.35,0.23,,,,100.22,4.92,3.34,22.01,,25.31,18.64,15.14,,6.38,3.71,0.51,0.22,100.18
KA,"Hypersthene olivine basalt (Ka), east wall of Olokele Canyon, Kauai",Tilley Yoder & Schairer (1963) Carnegie Inst. Wash. Year Book 62 p. 79,3,4,48.69,10.23,1.63,10.13,0.17,17.72,7.51,1.68,0.29,0.17,0.00,1.61,0.21,,0.00,0.01,100.05,,1.67,14.15,,19.46,13.12,26.50,18.99,3.04,2.32,0.51,0.17,99.93
MK,"Picrite basalt, Kaula Gulch, Mauna Kea, Hawaii",Tilley Yoder & Schairer (1964) Carnegie Inst. Wash. Year Book 63 p. 93,1,MK,46.01,7.96,2.54,9.09,0.18,20.19,10.49,1.26,0.27,0.07,0.03,1.61,0.17,0.26,,,100.13,,1.67,10.48,,15.29,28.72,5.51,30.90,3.04,4.10,0.34,0.10,100.15
ML,"Olivine basalt, 1935 pahoehoe flow of Mauna Loa, Hawaii",Tilley Yoder & Schairer (1964) Carnegie Inst. Wash. Year Book 63 p. 93,1,ML 1935,51.86,13.89,3.00,8.44,0.14,6.99,10.77,2.40,0.40,0.01,0.01,2.11,0.22,,,,100.24,4.59,2.22,20.44,,25.85,21.31,16.92,,3.95,4.41,0.51,0.02,100.22
E1,"Olivine basalt, Eldgja-Katla lava, Iceland",Tilley Yoder & Schairer (1964) Carnegie Inst. Wash. Year Book 63 p. 93,1,E1,47.11,14.04,2.73,12.47,0.16,5.47,10.06,2.84,0.77,0.11,0.16,4.27,0.11,,,,100.30,,4.45,24.10,,23.35,21.37,7.45,6.97,8.13,3.94,0.34,0.27,100.37
E2,"Olivine basalt, Eldgja-Katla lava, Iceland",Tilley Yoder & Schairer (1964) Carnegie Inst. Wash. Year Book 63 p. 93,1,E2,47.70,13.67,2.09,12.97,0.10,5.14,9.72,3.36,1.05,0.12,0.13,4.19,0.20,,,,100.44,,6.12,27.25,0.57,19.18,23.56,,12.12,7.90,3.02,0.34,0.25,100.31
