figure,page,pdf_page_index,projection,kind,label,x_px,y_px,c1,v1,c2,v2,composition,uncertainty_px,note,status
5,88,19,cmas_opx_M2S_C2S3_A2S3,point,1921,731,1668.5,,,,,YT1962:14,1.0,"plotted 3.0 wt% from analysis 14 (the 1921 analysis O'Hara cites and uses in Fig. 4C) but within 0.11 wt% of Y&T Table 2 no. 12, another analysis of the Kilauea olivine tholeiite; O'Hara appears to have plotted a different 1921 analysis in this figure",discrepancy
11,114,45,cmas_di_C3A_S_M,tick,SiO2 45,1219,424,C3A,0,S,45,,1.5,"olivine-enstatite edge (C3A = 0), labelled wt% SiO2; 6x zoom",validate
11,114,45,cmas_di_C3A_S_M,tick,SiO2 50,988,559,C3A,0,S,50,,1.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,SiO2 55,757,699,C3A,0,S,55,,1.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 50 / C3A 10,1461,832.5,C3A,10,S,40,,0.5,"vertical scale printed with paired MgO and C3A labels summing to 60, i.e. the line SiO2 = 40 wt%; auto-detected",validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 45 / C3A 15,1461,1101,C3A,15,S,40,,0.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 40 / C3A 20,1461,1374,C3A,20,S,40,,0.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 35 / C3A 25,1461,1644.5,C3A,25,S,40,,0.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 30 / C3A 30,1461,1914.5,C3A,30,S,40,,0.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 25 / C3A 35,1461,2182,C3A,35,S,40,,0.5,,validate
11,114,45,cmas_di_C3A_S_M,tick,MgO 20 / C3A 40,1461,2448.5,C3A,40,S,40,,0.5,,validate
11,114,45,cmas_di_C3A_S_M,point,olivine,1331,357,,,,,forsterite,2.0,apex of the OLIVINE arrow,validate
11,114,45,cmas_di_C3A_S_M,point,enstatite,535.5,830,,,,,enstatite,2.0,apex of the ENSTATITE arrow,validate
11,114,45,cmas_di_C3A_S_M,point,anorthite,962,2624.5,,,,,anorthite,1.0,filled dot at ANORTHITE,validate
11,114,45,cmas_di_C3A_S_M,point,Di-Py join,932.5,1991.5,,,,,pyrope,1.5,open circle marked 'All diopside-pyrope join': from diopside the whole join projects onto pyrope's point,validate
