no,printed_column,column,printed_row,printed,value,page,note
15,15,n_Or,Or,0·56,0.56,362,
15,15,n_Ab,Ab,18·34,18.34,362,
15,15,n_Ne,Ne,—,,362,
15,15,n_An,An,39·48,39.48,362,
15,15,n_Di,Di,14·74,14.74,362,
15,15,n_Hy,Hy,9·63,9.63,362,
15,15,n_Ol,Ol,14·66,14.66,362,
15,15,n_Mt,Mt,0·46,0.46,362,
15,15,n_Il,Il,1·52,1.52,362,
15,15,n_Ap,Ap,—,,362,
15,15,n_Ct,Ct,—,,362,
15,15,n_Cs,Cs,—,,362,
15,15,n_Ks,Ks,—,,362,
15,15,n_Rest,Rest,0·30,0.30,362,"""Rest"" row of the printed norm"
15,15,n_total,TOTAL,99·69,99.69,362,
16,16*,SiO2,SiO2,48·27,48.27,362,
16,16*,Al2O3,Al2O3,18·28,18.28,362,
16,16*,Fe2O3,Fe2O3,1·04,1.04,362,
16,16*,FeO,FeO,8·31,8.31,362,
16,16*,MnO,MnO,0·17,0.17,362,
16,16*,MgO,MgO,8·96,8.96,362,
16,16*,CaO,CaO,11·32,11.32,362,
16,16*,Na2O,Na2O,2·80,2.80,362,
16,16*,K2O,K2O,0·14,0.14,362,
16,16*,H2O+,H2O+,0·15,0.15,362,
16,16*,H2O-,H2O-,0·07,0.07,362,
16,16*,P2O5,P2O5,0·07,0.07,362,
16,16*,TiO2,TiO2,0·89,0.89,362,
16,16*,Cr2O3,Cr2O3,n.d.,,362,
16,16*,SrO,SrO,n.d.,,362,
16,16*,NiO,NiO,n.d.,,362,
16,16*,CO2,CO2,n.d.,,362,
16,16*,SO3,SO3,n.d.,,362,
16,16*,total,TOTAL,100·47,100.47,362,
16,16*,n_Qz,Qz,—,,362,
16,16*,n_Or,Or,0·56,0.56,362,
16,16*,n_Ab,Ab,23·58,23.58,362,
16,16*,n_Ne,Ne,—,,362,
16,16*,n_An,An,36·97,36.97,362,
16,16*,n_Di,Di,15·23,15.23,362,
16,16*,n_Hy,Hy,—,,362,
16,16*,n_Ol,Ol,20·55,20.55,362,
16,16*,n_Mt,Mt,1·39,1.39,362,
16,16*,n_Il,Il,1·67,1.67,362,
16,16*,n_Ap,Ap,0·17,0.17,362,
16,16*,n_Ct,Ct,—,,362,
16,16*,n_Cs,Cs,—,,362,
16,16*,n_Ks,Ks,—,,362,
16,16*,n_Rest,Rest,0·22,0.22,362,"""Rest"" row of the printed norm"
16,16*,n_total,TOTAL,100·34,100.34,362,
17,17,SiO2,SiO2,47·77,47.77,362,
17,17,Al2O3,Al2O3,18·52,18.52,362,
17,17,Fe2O3,Fe2O3,1·49,1.49,362,
17,17,FeO,FeO,7·31,7.31,362,
17,17,MnO,MnO,0·14,0.14,362,
17,17,MgO,MgO,9·88,9.88,362,
17,17,CaO,CaO,11·32,11.32,362,
17,17,Na2O,Na2O,2·55,2.55,362,
17,17,K2O,K2O,0·12,0.12,362,
17,17,H2O+,H2O+,0·31,0.31,362,
17,17,H2O-,H2O-,0·11,0.11,362,
17,17,P2O5,P2O5,0·07,0.07,362,
17,17,TiO2,TiO2,0·71,0.71,362,
17,17,Cr2O3,Cr2O3,n.d.,,362,
17,17,SrO,SrO,n.d.,,362,
17,17,NiO,NiO,n.d.,,362,
17,17,CO2,CO2,n.d.,,362,
17,17,SO3,SO3,n.d.,,362,
17,17,total,TOTAL,100·30,100.30,362,
17,17,n_Qz,Qz,—,,362,
17,17,n_Or,Or,0·56,0.56,362,
17,17,n_Ab,Ab,21·48,21.48,362,
17,17,n_Ne,Ne,—,,362,
17,17,n_An,An,38·64,38.64,362,
17,17,n_Di,Di,13·79,13.79,362,
17,17,n_Hy,Hy,1·68,1.68,362,
17,17,n_Ol,Ol,19·93,19.93,362,
17,17,n_Mt,Mt,2·09,2.09,362,
17,17,n_Il,Il,1·37,1.37,362,
17,17,n_Ap,Ap,0·17,0.17,362,
17,17,n_Ct,Ct,—,,362,
17,17,n_Cs,Cs,—,,362,
17,17,n_Ks,Ks,—,,362,
17,17,n_Rest,Rest,0·42,0.42,362,"""Rest"" row of the printed norm"
17,17,n_total,TOTAL,100·13,100.13,362,
18,18,SiO2,SiO2,46·43,46.43,362,
18,18,Al2O3,Al2O3,10·91,10.91,362,
18,18,Fe2O3,Fe2O3,3·15,3.15,362,
18,18,FeO,FeO,10·26,10.26,362,
18,18,MnO,MnO,0·09,0.09,362,
18,18,MgO,MgO,11·08,11.08,362,
18,18,CaO,CaO,10·09,10.09,362,
18,18,Na2O,Na2O,3·16,3.16,362,
18,18,K2O,K2O,0·54,0.54,362,
18,18,H2O+,H2O+,0·66,0.66,362,
18,18,H2O-,H2O-,0·15,0.15,362,
18,18,P2O5,P2O5,0·67,0.67,362,
18,18,TiO2,TiO2,2·59,2.59,362,
18,18,Cr2O3,Cr2O3,0·00,0.00,362,
18,18,SrO,SrO,n.d.,,362,
18,18,NiO,NiO,n.d.,,362,
18,18,CO2,CO2,n.d.,,362,
18,18,SO3,SO3,0·07,0.07,362,
18,18,total,TOTAL,99·85,99.85,362,
18,18,n_Qz,Qz,—,,362,
18,18,n_Or,Or,3·34,3.34,362,
18,18,n_Ab,Ab,23·84,23.84,362,
18,18,n_Ne,Ne,1·56,1.56,362,
18,18,n_An,An,13·90,13.90,362,
18,18,n_Di,Di,25·31,25.31,362,
18,18,n_Hy,Hy,—,,362,
18,18,n_Ol,Ol,19·97,19.97,362,
18,18,n_Mt,Mt,4·64,4.64,362,
18,18,n_Il,Il,4·86,4.86,362,
18,18,n_Ap,Ap,1·68,1.68,362,
18,18,n_Ct,Ct,—,,362,
18,18,n_Cs,Cs,—,,362,
18,18,n_Ks,Ks,—,,362,
18,18,n_Rest,Rest,0·88,0.88,362,"""Rest"" row of the printed norm"
18,18,n_total,TOTAL,99·98,99.98,362,
19,19,SiO2,SiO2,46·59,46.59,362,
19,19,Al2O3,Al2O3,15·19,15.19,362,
19,19,Fe2O3,Fe2O3,2·96,2.96,362,
19,19,FeO,FeO,9·89,9.89,362,
19,19,MnO,MnO,0·18,0.18,362,
19,19,MgO,MgO,8·74,8.74,362,
19,19,CaO,CaO,10·02,10.02,362,
19,19,Na2O,Na2O,3·01,3.01,362,
19,19,K2O,K2O,0·96,0.96,362,
19,19,H2O+,H2O+,0·05,0.05,362,
19,19,H2O-,H2O-,nil,0,362,"printed ""nil""; entered as 0"
19,19,P2O5,P2O5,0·29,0.29,362,
19,19,TiO2,TiO2,2·26,2.26,362,
19,19,Cr2O3,Cr2O3,0·06,0.06,362,
19,19,SrO,SrO,n.d.,,362,
19,19,NiO,NiO,n.d.,,362,
19,19,CO2,CO2,n.d.,,362,
19,19,SO3,SO3,n.d.,,362,
19,19,total,TOTAL,100·20,100.20,362,
19,19,n_Qz,Qz,—,,362,
19,19,n_Or,Or,5·56,5.56,362,
19,19,n_Ab,Ab,20·96,20.96,362,
19,19,n_Ne,Ne,2·27,2.27,362,
19,19,n_An,An,25·30,25.30,362,
19,19,n_Di,Di,18·51,18.51,362,
19,19,n_Hy,Hy,—,,362,
19,19,n_Ol,Ol,18·21,18.21,362,
19,19,n_Mt,Mt,4·41,4.41,362,
19,19,n_Il,Il,4·26,4.26,362,
19,19,n_Ap,Ap,0·67,0.67,362,
19,19,n_Ct,Ct,—,,362,
19,19,n_Cs,Cs,—,,362,
19,19,n_Ks,Ks,—,,362,
19,19,n_Rest,Rest,0·11,0.11,362,"""Rest"" row of the printed norm"
19,19,n_total,TOTAL,100·26,100.26,362,
20,20*,SiO2,SiO2,46·53,46.53,362,
20,20*,Al2O3,Al2O3,14·31,14.31,362,
20,20*,Fe2O3,Fe2O3,3·16,3.16,362,
20,20*,FeO,FeO,9·81,9.81,362,
20,20*,MnO,MnO,0·18,0.18,362,
20,20*,MgO,MgO,9·54,9.54,362,
20,20*,CaO,CaO,10·32,10.32,362,
20,20*,Na2O,Na2O,2·85,2.85,362,
20,20*,K2O,K2O,0·84,0.84,362,
20,20*,H2O+,H2O+,0·08,0.08,362,
20,20*,H2O-,H2O-,nil,0,362,"printed ""nil""; entered as 0"
20,20*,P2O5,P2O5,0·28,0.28,362,
20,20*,TiO2,TiO2,2·28,2.28,362,
20,20*,Cr2O3,Cr2O3,0·06,0.06,362,
20,20*,SrO,SrO,n.d.,,362,
20,20*,NiO,NiO,n.d.,,362,
20,20*,CO2,CO2,n.d.,,362,
20,20*,SO3,SO3,n.d.,,362,
20,20*,total,TOTAL,100·24,100.24,362,
20,20*,n_Qz,Qz,—,,362,
20,20*,n_Or,Or,5·28,5.28,362,
20,20*,n_Ab,Ab,20·04,20.04,362,
20,20*,n_Ne,Ne,2·20,2.20,362,
20,20*,n_An,An,23·63,23.63,362,
20,20*,n_Di,Di,20·89,20.89,362,
20,20*,n_Hy,Hy,—,,362,
20,20*,n_Ol,Ol,18·48,18.48,362,
20,20*,n_Mt,Mt,4·53,4.53,362,
20,20*,n_Il,Il,4·41,4.41,362,
20,20*,n_Ap,Ap,0·67,0.67,362,
20,20*,n_Ct,Ct,—,,362,
20,20*,n_Cs,Cs,—,,362,
20,20*,n_Ks,Ks,—,,362,
20,20*,n_Rest,Rest,0·14,0.14,362,"""Rest"" row of the printed norm"
20,20*,n_total,TOTAL,100·27,100.27,362,
21,21,SiO2,SiO2,48·42,48.42,362,
21,21,Al2O3,Al2O3,13·97,13.97,362,
21,21,Fe2O3,Fe2O3,4·17,4.17,362,
21,21,FeO,FeO,9·57,9.57,362,
21,21,MnO,MnO,0·17,0.17,362,
21,21,MgO,MgO,4·61,4.61,362,
21,21,CaO,CaO,8·86,8.86,362,
21,21,Na2O,Na2O,3·30,3.30,362,
21,21,K2O,K2O,1·29,1.29,362,
21,21,H2O+,H2O+,0·84,0.84,362,
21,21,H2O-,H2O-,0·42,0.42,362,
21,21,P2O5,P2O5,0·91,0.91,362,
21,21,TiO2,TiO2,3·25,3.25,362,
21,21,Cr2O3,Cr2O3,n.d.,,362,
21,21,SrO,SrO,n.d.,,362,
21,21,NiO,NiO,n.d.,,362,
21,21,CO2,CO2,n.d.,,362,
21,21,SO3,SO3,n.d.,,362,
21,21,total,TOTAL,99·78,99.78,362,
21,21,n_Qz,Qz,0·84,0.84,362,
21,21,n_Or,Or,7·78,7.78,362,
21,21,n_Ab,Ab,27·77,27.77,362,
21,21,n_Ne,Ne,—,,362,
21,21,n_An,An,19·46,19.46,362,
21,21,n_Di,Di,15·49,15.49,362,
21,21,n_Hy,Hy,12·88,12.88,362,
21,21,n_Ol,Ol,—,,362,
21,21,n_Mt,Mt,6·03,6.03,362,
21,21,n_Il,Il,6·23,6.23,362,
21,21,n_Ap,Ap,2·02,2.02,362,
21,21,n_Ct,Ct,—,,362,
21,21,n_Cs,Cs,—,,362,
21,21,n_Ks,Ks,—,,362,
21,21,n_Rest,Rest,1·26,1.26,362,"""Rest"" row of the printed norm"
21,21,n_total,TOTAL,99·76,99.76,362,
22,22,SiO2,SiO2,47·32,47.32,362,
22,22,Al2O3,Al2O3,16·68,16.68,362,
22,22,Fe2O3,Fe2O3,2·63,2.63,362,
22,22,FeO,FeO,8·67,8.67,362,
22,22,MnO,MnO,0·16,0.16,362,
22,22,MgO,MgO,5·43,5.43,362,
22,22,CaO,CaO,11·27,11.27,362,
22,22,Na2O,Na2O,3·08,3.08,362,
22,22,K2O,K2O,0·79,0.79,362,
22,22,H2O+,H2O+,0·23,0.23,362,
22,22,H2O-,H2O-,0·17,0.17,362,
22,22,P2O5,P2O5,0·53,0.53,362,
22,22,TiO2,TiO2,3·09,3.09,362,
22,22,Cr2O3,Cr2O3,n.d.,,362,
22,22,SrO,SrO,n.d.,,362,
22,22,NiO,NiO,n.d.,,362,
22,22,CO2,CO2,n.d.,,362,
22,22,SO3,SO3,n.d.,,362,
22,22,total,TOTAL,100·05,100.05,362,
22,22,n_Qz,Qz,—,,362,
22,22,n_Or,Or,5·00,5.00,362,
22,22,n_Ab,Ab,25·68,25.68,362,
22,22,n_Ne,Ne,0·28,0.28,362,
22,22,n_An,An,29·19,29.19,362,
22,22,n_Di,Di,19·04,19.04,362,
22,22,n_Hy,Hy,—,,362,
22,22,n_Ol,Ol,9·68,9.68,362,
22,22,n_Mt,Mt,3·71,3.71,362,
22,22,n_Il,Il,5·93,5.93,362,
22,22,n_Ap,Ap,1·34,1.34,362,
22,22,n_Ct,Ct,—,,362,
22,22,n_Cs,Cs,—,,362,
22,22,n_Ks,Ks,—,,362,
22,22,n_Rest,Rest,0·40,0.40,362,"""Rest"" row of the printed norm"
22,22,n_total,TOTAL,100·25,100.25,362,
23,23*,SiO2,SiO2,49·28,49.28,362,
23,23*,Al2O3,Al2O3,15·98,15.98,362,
23,23*,Fe2O3,Fe2O3,4·11,4.11,362,
23,23*,FeO,FeO,7·94,7.94,362,
23,23*,MnO,MnO,0·19,0.19,362,
23,23*,MgO,MgO,4·44,4.44,362,
23,23*,CaO,CaO,9·55,9.55,362,
23,23*,Na2O,Na2O,3·47,3.47,362,
23,23*,K2O,K2O,1·26,1.26,362,
23,23*,H2O+,H2O+,0·39,0.39,362,
23,23*,H2O-,H2O-,0·53,0.53,362,
23,23*,P2O5,P2O5,0·23,0.23,362,
23,23*,TiO2,TiO2,3·06,3.06,362,
23,23*,Cr2O3,Cr2O3,0·02,0.02,362,
23,23*,SrO,SrO,n.d.,,362,
23,23*,NiO,NiO,n.d.,,362,
23,23*,CO2,CO2,n.d.,,362,
23,23*,SO3,SO3,n.d.,,362,
23,23*,total,TOTAL,100·45,100.45,362,
23,23*,n_Qz,Qz,—,,362,
23,23*,n_Or,Or,7·50,7.50,362,
23,23*,n_Ab,Ab,29·34,29.34,362,
23,23*,n_Ne,Ne,—,,362,
23,23*,n_An,An,24·32,24.32,362,
23,23*,n_Di,Di,17·97,17.97,362,
23,23*,n_Hy,Hy,6·43,6.43,362,
23,23*,n_Ol,Ol,1·83,1.83,362,
23,23*,n_Mt,Mt,6·03,6.03,362,
23,23*,n_Il,Il,5·78,5.78,362,
23,23*,n_Ap,Ap,0·34,0.34,362,
23,23*,n_Ct,Ct,—,,362,
23,23*,n_Cs,Cs,—,,362,
23,23*,n_Ks,Ks,—,,362,
23,23*,n_Rest,Rest,0·92,0.92,362,"""Rest"" row of the printed norm"
23,23*,n_total,TOTAL,100·46,100.46,362,
24,24*,SiO2,SiO2,39·14,39.14,362,
24,24*,Al2O3,Al2O3,12·23,12.23,362,
24,24*,Fe2O3,Fe2O3,5·28,5.28,362,
24,24*,FeO,FeO,8·02,8.02,362,
24,24*,MnO,MnO,0·20,0.20,362,
24,24*,MgO,MgO,12·86,12.86,362,
24,24*,CaO,CaO,13·11,13.11,362,
24,24*,Na2O,Na2O,3·95,3.95,362,
24,24*,K2O,K2O,1·23,1.23,362,
24,24*,H2O+,H2O+,0·48,0.48,362,
24,24*,H2O-,H2O-,0·16,0.16,362,
24,24*,P2O5,P2O5,0·58,0.58,362,
24,24*,TiO2,TiO2,2·54,2.54,362,
24,24*,Cr2O3,Cr2O3,n.d.,,362,
24,24*,SrO,SrO,n.d.,,362,
24,24*,NiO,NiO,n.d.,,362,
24,24*,CO2,CO2,0·13,0.13,362,
24,24*,SO3,SO3,n.d.,,362,
24,24*,total,TOTAL,99·91,99.91,362,
24,24*,n_Qz,Qz,—,,362,
24,24*,n_Or,Or,—,,362,
24,24*,n_Ab,Ab,—,,362,
24,24*,n_Ne,Ne,18·18,18.18,362,
24,24*,n_An,An,11·95,11.95,362,
24,24*,n_Di,Di,30·60,30.60,362,
24,24*,n_Hy,Hy,—,,362,
24,24*,n_Ol,Ol,17·16,17.16,362,
24,24*,n_Mt,Mt,7·66,7.66,362,
24,24*,n_Il,Il,4·86,4.86,362,
24,24*,n_Ap,Ap,1·34,1.34,362,
24,24*,n_Ct,Ct,0·30,0.30,362,
24,24*,n_Cs,Qz,3·18 (Cs),3.18,362,printed in the Qz row with the annotation (Cs)
24,24*,n_Ks,Or,4·11 (Ks),4.11,362,printed in the Or row with the annotation (Ks)
24,24*,n_Rest,Rest,0·64,0.64,362,"""Rest"" row of the printed norm"
24,24*,n_total,TOTAL,99·98,99.98,362,
