no,printed_column,column,printed_row,printed,value,page,note
4,4,n_Mt,Mt,3·25,3.25,361,
4,4,n_Il,Il,9·27,9.27,361,
4,4,n_Ap,Ap,0·67,0.67,361,
4,4,n_Ct,Ct,—,,361,
4,4,n_Cs,Cs,—,,361,
4,4,n_Ks,Ks,—,,361,
4,4,n_Rest,Rest,0·35,0.35,361,"""Rest"" row of the printed norm"
4,4,n_total,TOTAL,100·06,100.06,361,
5,5*,SiO2,SiO2,51·77,51.77,361,
5,5*,Al2O3,Al2O3,13·78,13.78,361,
5,5*,Fe2O3,Fe2O3,2·04,2.04,361,
5,5*,FeO,FeO,9·13,9.13,361,
5,5*,MnO,MnO,0·16,0.16,361,
5,5*,MgO,MgO,8·58,8.58,361,
5,5*,CaO,CaO,10·12,10.12,361,
5,5*,Na2O,Na2O,2·36,2.36,361,
5,5*,K2O,K2O,0·39,0.39,361,
5,5*,H2O+,H2O+,0·07,0.07,361,
5,5*,H2O-,H2O-,0·06,0.06,361,
5,5*,P2O5,P2O5,0·17,0.17,361,
5,5*,TiO2,TiO2,1·76,1.76,361,
5,5*,Cr2O3,Cr2O3,n.d.,,361,
5,5*,SrO,SrO,n.d.,,361,
5,5*,NiO,NiO,n.d.,,361,
5,5*,CO2,CO2,n.d.,,361,
5,5*,SO3,SO3,n.d.,,361,
5,5*,total,TOTAL,100·39,100.39,361,
5,5*,n_Qz,Qz,1·92,1.92,361,
5,5*,n_Or,Or,2·22,2.22,361,
5,5*,n_Ab,Ab,19·91,19.91,361,
5,5*,n_Ne,Ne,—,,361,
5,5*,n_An,An,25·85,25.85,361,
5,5*,n_Di,Di,19·19,19.19,361,
5,5*,n_Hy,Hy,24·47,24.47,361,
5,5*,n_Ol,Ol,—,,361,
5,5*,n_Mt,Mt,3·02,3.02,361,
5,5*,n_Il,Il,3·34,3.34,361,
5,5*,n_Ap,Ap,0·34,0.34,361,
5,5*,n_Ct,Ct,—,,361,
5,5*,n_Cs,Cs,—,,361,
5,5*,n_Ks,Ks,—,,361,
5,5*,n_Rest,Rest,0·13,0.13,361,"""Rest"" row of the printed norm"
5,5*,n_total,TOTAL,100·39,100.39,361,
6,6,SiO2,SiO2,51·35,51.35,361,
6,6,Al2O3,Al2O3,13·36,13.36,361,
6,6,Fe2O3,Fe2O3,1·32,1.32,361,
6,6,FeO,FeO,9·85,9.85,361,
6,6,MnO,MnO,0·07,0.07,361,
6,6,MgO,MgO,7·62,7.62,361,
6,6,CaO,CaO,10·74,10.74,361,
6,6,Na2O,Na2O,1·93,1.93,361,
6,6,K2O,K2O,0·50,0.50,361,
6,6,H2O+,H2O+,0·29,0.29,361,
6,6,H2O-,H2O-,0·00,0.00,361,
6,6,P2O5,P2O5,0·28,0.28,361,
6,6,TiO2,TiO2,2·50,2.50,361,
6,6,Cr2O3,Cr2O3,0·03,0.03,361,
6,6,SrO,SrO,n.d.,,361,
6,6,NiO,NiO,0·025,0.025,361,
6,6,CO2,CO2,n.d.,,361,
6,6,SO3,SO3,n.d.,,361,
6,6,total,TOTAL,99·86,99.86,361,printed total 99.86; the printed oxides (incl. NiO 0.025) sum to 99.865
6,6,n_Qz,Qz,4·26,4.26,361,
6,6,n_Or,Or,2·78,2.78,361,
6,6,n_Ab,Ab,16·24,16.24,361,
6,6,n_Ne,Ne,—,,361,
6,6,n_An,An,26·41,26.41,361,
6,6,n_Di,Di,20·65,20.65,361,
6,6,n_Hy,Hy,21·84,21.84,361,
6,6,n_Ol,Ol,—,,361,
6,6,n_Mt,Mt,1·86,1.86,361,
6,6,n_Il,Il,4·71,4.71,361,
6,6,n_Ap,Ap,0·67,0.67,361,
6,6,n_Ct,Ct,—,,361,
6,6,n_Cs,Cs,—,,361,
6,6,n_Ks,Ks,—,,361,
6,6,n_Rest,Rest,0·29,0.29,361,"""Rest"" row of the printed norm"
6,6,n_total,TOTAL,99·71,99.71,361,
7,7*,SiO2,SiO2,51·18,51.18,361,
7,7*,Al2O3,Al2O3,14·07,14.07,361,
7,7*,Fe2O3,Fe2O3,1·35,1.35,361,
7,7*,FeO,FeO,9·78,9.78,361,
7,7*,MnO,MnO,0·17,0.17,361,
7,7*,MgO,MgO,7·78,7.78,361,
7,7*,CaO,CaO,10·83,10.83,361,
7,7*,Na2O,Na2O,2·39,2.39,361,
7,7*,K2O,K2O,0·44,0.44,361,
7,7*,H2O+,H2O+,0·10,0.10,361,
7,7*,H2O-,H2O-,0·01,0.01,361,
7,7*,P2O5,P2O5,0·15,0.15,361,
7,7*,TiO2,TiO2,2·10,2.10,361,
7,7*,Cr2O3,Cr2O3,0·05,0.05,361,
7,7*,SrO,SrO,n.d.,,361,
7,7*,NiO,NiO,n.d.,,361,
7,7*,CO2,CO2,n.d.,,361,
7,7*,SO3,SO3,n.d.,,361,
7,7*,total,TOTAL,100·40,100.40,361,
7,7*,n_Qz,Qz,0·30,0.30,361,
7,7*,n_Or,Or,2·22,2.22,361,
7,7*,n_Ab,Ab,20·96,20.96,361,
7,7*,n_Ne,Ne,—,,361,
7,7*,n_An,An,26·13,26.13,361,
7,7*,n_Di,Di,22·04,22.04,361,
7,7*,n_Hy,Hy,22·44,22.44,361,
7,7*,n_Ol,Ol,—,,361,
7,7*,n_Mt,Mt,1·86,1.86,361,
7,7*,n_Il,Il,3·95,3.95,361,
7,7*,n_Ap,Ap,0·34,0.34,361,
7,7*,n_Ct,Ct,—,,361,
7,7*,n_Cs,Cs,—,,361,
7,7*,n_Ks,Ks,—,,361,
7,7*,n_Rest,Rest,0·11,0.11,361,"""Rest"" row of the printed norm"
7,7*,n_total,TOTAL,100·35,100.35,361,
7a,7a*,SiO2,SiO2,50·40,50.40,361,
7a,7a*,Al2O3,Al2O3,13·91,13.91,361,
