ohara_label,column,printed,value,source,table,printed_column,page,archive_item,pdf_page_index,note
1840b1,n_Or,3.89,3.89,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Ab,22.53,22.53,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Ne,---,,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_An,21.13,21.13,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Di,17.73,17.73,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Hy,24.29,24.29,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Ol,---,,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Il,6.61,6.61,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Mt,2.09,2.09,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Ap,0.85,0.85,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_Rest,0.13,0.13,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b1,n_total,100.03,100.03,Carnegie Institution of Washington Year Book 62,3,2,79,yearbookcarne62196263carn,150,
1840b2,SiO2,51.15,51.15,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,Al2O3,14.22,14.22,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,Fe2O3,2.55,2.55,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,FeO,9.56,9.56,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,MnO,0.18,0.18,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,MgO,5.65,5.65,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,CaO,9.96,9.96,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,Na2O,2.58,2.58,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,K2O,0.57,0.57,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,H2O+,0.22,0.22,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,H2O-,Nil,0,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,TiO2,3.35,3.35,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,P2O5,0.23,0.23,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,Cr2O3,n.d.,,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,S,n.d.,,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,F,n.d.,,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,total,100.22,100.22,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Qz,4.92,4.92,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Or,3.34,3.34,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Ab,22.01,22.01,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Ne,---,,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_An,25.31,25.31,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Di,18.64,18.64,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Hy,15.14,15.14,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Ol,---,,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Il,6.38,6.38,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Mt,3.71,3.71,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Ap,0.51,0.51,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_Rest,0.22,0.22,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
1840b2,n_total,100.18,100.18,Carnegie Institution of Washington Year Book 62,3,3,79,yearbookcarne62196263carn,150,
KA,SiO2,48.69,48.69,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,Al2O3,10.23*,10.23,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,"printed ""10.23*"": includes ZrO2, Cr2O3, V2O5 and other undetermined oxides (table footnote)"
KA,Fe2O3,1.63,1.63,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,FeO,10.13,10.13,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,MnO,0.17,0.17,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,MgO,17.72,17.72,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,CaO,7.51,7.51,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,Na2O,1.68,1.68,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,K2O,0.29,0.29,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,H2O+,0.17,0.17,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,H2O-,0.00,0.00,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,TiO2,1.61,1.61,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,P2O5,0.21,0.21,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,Cr2O3,n.d.*,,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,"printed ""n.d.*"" (included in Al2O3, see footnote)"
KA,S,0.00,0.00,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,F,0.01,0.01,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,total,100.05,100.05,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,"printed 100.05 before the O = F,S correction (0.01), 100.04 after; the value here is the sum of the printed oxides"
KA,n_Qz,---,,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Or,1.67,1.67,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Ab,14.15,14.15,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Ne,---,,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_An,19.46,19.46,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Di,13.12,13.12,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Hy,26.50,26.50,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Ol,18.99,18.99,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
KA,n_Il,3.04,3.04,Carnegie Institution of Washington Year Book 62,3,4,79,yearbookcarne62196263carn,150,
